id,file_name,width,height,file_size (KB),#instances,#categories,shooting angle,complete or partial,color
1,000001.jpg,1000,750,1114,2,2,side,partial,red
2,000002.jpg,1000,667,637,1,1,side,partial,white
3,000003.jpg,1000,667,966,1,1,side,partial,white
4,000004.jpg,1000,667,806,1,1,side,partial,gray
5,000005.jpg,1000,667,959,1,1,side,partial,gray
6,000006.jpg,1000,667,771,1,1,side,partial,red
7,000007.jpg,1000,667,701,1,1,side,partial,red
8,000008.jpg,1000,678,873,7,2,front,partial,blue
9,000009.jpg,1000,667,988,4,3,side,complete,gray
10,000010.jpg,1000,667,1136,1,1,side,partial,brown
11,000011.jpg,1000,667,862,1,1,side,partial,purple
12,000012.jpg,1000,667,992,2,1,front,partial,white
13,000013.jpg,1000,685,910,4,3,side,complete,silver
14,000014.jpg,1000,667,772,4,3,side,partial,silver
15,000015.jpg,1000,667,420,1,1,side,partial,white
16,000016.jpg,1000,667,687,4,2,side,partial,black
17,000017.jpg,1000,667,436,1,1,side,partial,gray
18,000018.jpg,1000,667,564,3,1,side,partial,gray
19,000019.jpg,1000,645,501,1,1,front,partial,gray
20,000020.jpg,1000,665,611,3,1,front,partial,silver
21,000021.jpg,1000,667,715,4,1,side,partial,white
22,000022.jpg,1000,667,570,4,2,front,partial,white
23,000023.jpg,1000,667,609,2,2,side,partial,white
24,000024.jpg,1000,678,576,2,1,front,partial,white
25,000025.jpg,1000,702,551,2,1,front,partial,white
26,000026.jpg,1000,667,561,2,1,rear,partial,white
27,000027.jpg,1000,667,443,1,1,N/A,partial,gray
28,000028.jpg,662,1000,629,2,1,rear,partial,champagne
29,000029.jpg,1000,667,569,3,2,front,partial,silver
30,000030.jpg,1000,823,497,1,1,N/A,partial,silver
31,000031.jpg,1000,667,769,3,1,side,partial,black
32,000032.jpg,1000,667,899,1,1,N/A,partial,blue
33,000033.jpg,667,1000,795,2,1,side,partial,green
34,000034.jpg,1000,683,901,5,4,front,partial,silver
35,000035.jpg,1000,667,807,7,4,side,partial,silver
36,000036.jpg,1000,750,740,2,1,N/A,partial,gray
37,000037.jpg,1000,750,767,2,2,side,partial,gray
38,000038.jpg,1000,750,729,4,2,side,partial,white
39,000039.jpg,1000,667,646,5,5,rear,partial,silver
40,000040.jpg,1000,667,646,2,2,front,partial,champagne
41,000041.jpg,1000,667,749,1,1,front,partial,white
42,000042.jpg,1000,667,658,12,5,front,complete,blue
43,000043.jpg,1000,667,761,4,1,front,partial,champagne
44,000044.jpg,1000,667,825,4,3,side,partial,blue
45,000045.jpg,1000,667,718,5,3,front,partial,blue
46,000046.jpg,1000,750,602,5,1,side,partial,white
47,000047.jpg,1000,667,793,3,2,front,partial,blue
48,000048.jpg,1000,750,672,2,2,side,partial,silver
49,000049.jpg,1000,667,672,7,4,front,partial,black
50,000050.jpg,1000,750,817,1,1,side,partial,silver
51,000051.jpg,1000,667,1003,1,1,front,partial,red
52,000052.jpg,1000,750,870,2,2,front,partial,silver
53,000053.jpg,1000,667,603,2,1,side,partial,N/A
54,000054.jpg,1000,667,579,3,3,side,partial,black
55,000055.jpg,1000,658,823,1,1,side,partial,black
56,000056.jpg,1000,658,904,1,1,side,partial,black
57,000057.jpg,1000,658,815,1,1,side,partial,N/A
58,000058.jpg,1000,658,724,1,1,side,partial,black
59,000059.jpg,1000,658,955,1,1,side,partial,black
60,000060.jpg,1000,658,842,1,1,side,partial,black
61,000061.jpg,1000,750,736,1,1,side,partial,gray
62,000062.jpg,1000,667,698,3,2,rear,complete,white
63,000063.jpg,1000,668,520,4,3,side,partial,white
64,000064.jpg,1000,667,883,1,1,side,partial,gray
65,000065.jpg,1000,667,720,1,1,side,partial,gray
66,000066.jpg,1000,667,868,3,3,front,partial,red
67,000067.jpg,750,1000,791,1,1,side,partial,silver
68,000068.jpg,1000,667,822,1,1,front,partial,white
69,000069.jpg,1000,859,775,3,2,N/A,partial,white
70,000070.jpg,1000,668,740,2,1,side,partial,silver
71,000071.jpg,1000,667,646,2,2,N/A,partial,silver
72,000072.jpg,1000,667,615,1,1,front,partial,black
73,000073.jpg,1000,697,809,2,1,side,partial,gray
74,000074.jpg,750,1000,819,2,2,rear,partial,silver
75,000075.jpg,1000,667,612,1,1,side,partial,blue
76,000076.jpg,1000,667,715,2,1,side,partial,blue
77,000077.jpg,1000,667,738,1,1,rear,partial,gray
78,000078.jpg,667,1000,775,2,2,rear,partial,blue
79,000079.jpg,1000,667,663,2,1,rear,partial,silver
80,000080.jpg,668,1000,921,4,3,side,partial,silver
81,000081.jpg,1000,667,659,2,2,rear,partial,white
82,000082.jpg,1000,667,664,2,2,rear,partial,silver
83,000083.jpg,667,1000,696,3,2,rear,partial,silver
84,000084.jpg,1000,667,781,2,1,rear,partial,silver
85,000085.jpg,1000,667,958,2,2,rear,complete,silver
86,000086.jpg,1000,667,728,5,3,side,partial,silver
87,000087.jpg,667,1000,534,5,3,side,partial,silver
88,000088.jpg,1000,750,654,1,1,rear,partial,silver
89,000089.jpg,1000,750,668,1,1,rear,partial,silver
90,000090.jpg,1000,735,756,1,1,side,partial,N/A
91,000091.jpg,1000,667,914,1,1,front,partial,N/A
92,000092.jpg,1000,563,520,1,1,side,partial,gray
93,000093.jpg,1000,667,811,3,2,side,partial,gray
94,000094.jpg,1000,750,937,2,2,front,complete,silver
95,000095.jpg,1000,750,802,3,2,front,partial,silver
96,000096.jpg,1000,750,968,7,3,front,partial,yellow
97,000097.jpg,1000,667,685,1,1,N/A,partial,blue
98,000098.jpg,1000,750,746,2,1,rear,complete,black
99,000099.jpg,1000,667,503,3,2,rear,partial,gray
100,000100.jpg,1000,750,987,5,2,front,partial,white
101,000101.jpg,1000,750,850,1,1,front,partial,gray
102,000102.jpg,1000,667,865,2,2,front,partial,black
103,000103.jpg,1000,667,721,2,2,front,partial,black
104,000104.jpg,1000,750,1014,1,1,front,partial,black
105,000105.jpg,1000,842,566,2,1,side,partial,black
106,000106.jpg,1000,667,770,1,1,front,partial,black
107,000107.jpg,1000,667,781,3,1,side,partial,black
108,000108.jpg,1000,667,660,4,3,front,partial,black
109,000109.jpg,1000,667,441,1,1,side,partial,black
110,000110.jpg,1000,667,349,1,1,side,partial,black
111,000111.jpg,1000,667,394,1,1,side,partial,black
112,000112.jpg,750,1000,668,5,2,side,partial,black
113,000113.jpg,1000,667,448,2,2,side,partial,black
114,000114.jpg,1000,683,869,1,1,front,partial,black
115,000115.jpg,1000,657,425,2,1,side,partial,white
116,000116.jpg,1000,667,664,3,2,side,partial,silver
117,000117.jpg,1000,667,482,2,2,side,partial,silver
118,000118.jpg,1000,664,917,6,3,side,partial,black
119,000119.jpg,1000,689,1043,4,3,side,partial,black
120,000120.jpg,1000,667,640,1,1,N/A,partial,silver
121,000121.jpg,750,1000,881,2,1,side,partial,silver
122,000122.jpg,750,1000,602,2,1,side,partial,silver
123,000123.jpg,1000,667,378,1,1,side,partial,N/A
124,000124.jpg,1000,891,1507,1,1,side,partial,N/A
125,000125.jpg,1000,667,732,1,1,side,partial,white
126,000126.jpg,1000,667,648,5,3,side,partial,red
127,000127.jpg,1000,667,800,3,3,front,partial,black
128,000128.jpg,667,1000,949,4,2,rear,partial,black
129,000129.jpg,1000,667,1094,6,3,front,partial,blue
130,000130.jpg,1000,771,849,2,1,N/A,partial,black
131,000131.jpg,1000,664,865,1,1,side,partial,green
132,000132.jpg,1000,664,761,3,2,side,partial,blue
133,000133.jpg,1000,537,530,2,2,side,partial,red
134,000134.jpg,1000,750,1027,4,4,front,complete,black
135,000135.jpg,1000,562,536,3,2,side,partial,silver
136,000136.jpg,1000,735,793,1,1,rear,partial,gray
137,000137.jpg,1000,667,924,2,2,rear,partial,silver
138,000138.jpg,1000,667,956,1,1,front,partial,N/A
139,000139.jpg,1000,667,709,1,1,front,partial,black
140,000140.jpg,1000,667,563,1,1,side,partial,silver
141,000141.jpg,1000,667,468,1,1,rear,partial,white
142,000142.jpg,1000,777,1027,2,2,front,partial,blue
143,000143.jpg,1000,750,1293,1,1,side,partial,N/A
144,000144.jpg,1000,453,734,1,1,front,partial,silver
145,000145.jpg,667,1000,890,1,1,rear,partial,blue
146,000146.jpg,1000,558,447,1,1,N/A,partial,gray
147,000147.jpg,1000,667,647,1,1,side,partial,white
148,000148.jpg,1000,667,514,1,1,front,partial,white
149,000149.jpg,667,1000,753,1,1,N/A,partial,red
150,000150.jpg,1000,667,668,6,3,front,partial,silver
151,000151.jpg,1000,667,813,1,1,front,partial,black
152,000152.jpg,1000,666,796,3,2,side,partial,silver
153,000153.jpg,1000,704,665,4,3,front,partial,silver
154,000154.jpg,1000,667,645,1,1,front,complete,white
155,000155.jpg,1000,667,777,3,3,front,partial,white
156,000156.jpg,1000,667,497,2,2,rear,partial,white
157,000157.jpg,1000,667,667,1,1,rear,partial,silver
158,000158.jpg,1000,667,720,4,3,side,partial,black
159,000159.jpg,1000,667,822,4,3,side,partial,silver
160,000160.jpg,1000,667,762,6,4,front,partial,silver
161,000161.jpg,1000,667,916,3,2,front,partial,silver
162,000162.jpg,1000,667,781,2,2,front,partial,black
163,000163.jpg,667,1000,673,1,1,side,partial,silver
164,000164.jpg,1000,750,618,2,2,front,partial,silver
165,000165.jpg,1000,692,973,1,1,front,partial,N/A
166,000166.jpg,750,1000,1147,1,1,front,partial,N/A
167,000167.jpg,1000,667,736,1,1,front,partial,blue
168,000168.jpg,1000,750,866,1,1,front,partial,N/A
169,000169.jpg,1000,750,939,1,1,front,partial,N/A
170,000170.jpg,1000,780,1189,1,1,N/A,partial,N/A
171,000171.jpg,1000,667,845,1,1,front,partial,black
172,000172.jpg,1000,750,997,1,1,front,partial,N/A
173,000173.jpg,1000,624,1108,1,1,N/A,partial,N/A
174,000174.jpg,1000,667,889,1,1,rear,partial,silver
175,000175.jpg,1000,667,1105,1,1,side,partial,blue
176,000176.jpg,1000,578,850,1,1,side,partial,purple
177,000177.jpg,1000,754,1295,1,1,side,partial,blue
178,000178.jpg,1000,654,870,1,1,front,partial,orange
179,000179.jpg,1000,666,922,1,1,rear,partial,white
180,000180.jpg,1000,666,1032,1,1,rear,partial,white
181,000181.jpg,1000,666,1168,1,1,N/A,partial,N/A
182,000182.jpg,1000,667,1349,1,1,N/A,partial,N/A
183,000183.jpg,1000,667,1011,1,1,N/A,partial,blue
184,000184.jpg,1000,666,434,1,1,side,partial,white
185,000185.jpg,1000,667,747,1,1,N/A,partial,blue
186,000186.jpg,1000,667,665,1,1,side,partial,blue
187,000187.jpg,1000,667,701,1,1,side,partial,blue
188,000188.jpg,1000,667,1001,3,3,front,partial,blue
189,000189.jpg,1000,664,790,1,1,N/A,partial,blue
190,000190.jpg,1000,667,716,1,1,front,partial,black
191,000191.jpg,665,1000,907,5,3,front,complete,silver
192,000192.jpg,1000,665,821,1,1,front,partial,white
193,000193.jpg,1000,667,796,2,2,side,partial,silver
194,000194.jpg,1000,667,677,4,3,rear,partial,silver
195,000195.jpg,1000,667,532,3,3,front,complete,black
196,000196.jpg,1000,657,724,1,1,rear,partial,blue
197,000197.jpg,1000,667,934,1,1,rear,partial,purple
198,000198.jpg,1000,714,807,1,1,rear,partial,purple
199,000199.jpg,1000,667,787,1,1,N/A,partial,silver
200,000200.jpg,1000,667,946,1,1,side,partial,N/A
201,000201.jpg,1000,563,775,1,1,side,partial,N/A
202,000202.jpg,1000,667,880,1,1,front,partial,N/A
203,000203.jpg,1000,656,1019,1,1,front,partial,N/A
