epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.27,1.88825,3.52807,2.28397,0.50918,0.27968,0.22581,0.11893,1.94564,3.14724,2.36705,0.0670234,0.000333097,0.000333097
2,566.969,1.82372,3.17733,2.21227,0.57732,0.32218,0.24979,0.12579,1.93255,3.17907,2.43474,0.034019,0.000662031,0.000662031
3,777.222,1.77085,3.02644,2.16126,0.56662,0.34381,0.29121,0.15607,1.79683,3.19773,2.26125,0.00101024,0.000986566,0.000986566
4,995.684,1.74143,2.92302,2.12371,0.64978,0.30553,0.31451,0.19241,1.731,2.84407,2.21305,0.0009802,0.0009802,0.0009802
5,1234.84,1.7048,2.82495,2.09108,0.37545,0.37302,0.34417,0.1976,1.75977,2.60241,2.17084,0.0009736,0.0009736,0.0009736
6,1475.83,1.67146,2.77968,2.06611,0.36049,0.4296,0.37971,0.23443,1.72986,2.43722,2.10758,0.000967,0.000967,0.000967
7,1694.94,1.64607,2.73234,2.0426,0.51364,0.44076,0.42926,0.27641,1.62087,2.41353,2.02269,0.0009604,0.0009604,0.0009604
8,1900.98,1.58494,2.62142,1.9887,0.43223,0.42393,0.4334,0.268,1.6523,2.40666,2.0569,0.0009538,0.0009538,0.0009538
9,2099.85,1.58173,2.54385,1.97361,0.46366,0.49316,0.4642,0.30231,1.60402,2.2481,1.98728,0.0009472,0.0009472,0.0009472
10,2320.94,1.56653,2.52857,1.97107,0.62554,0.47932,0.46821,0.31428,1.56982,2.2431,1.97189,0.0009406,0.0009406,0.0009406
11,2512.7,1.58256,2.54629,1.9753,0.45676,0.45392,0.45028,0.2579,1.6998,2.27459,2.08726,0.000934,0.000934,0.000934
12,2720.03,1.54653,2.44994,1.94575,0.64054,0.49638,0.4965,0.32896,1.57166,2.1356,1.93224,0.0009274,0.0009274,0.0009274
13,2931.72,1.53525,2.39629,1.93014,0.55676,0.5022,0.50454,0.33746,1.51675,2.06087,1.90006,0.0009208,0.0009208,0.0009208
14,3133.81,1.52496,2.37327,1.91947,0.52754,0.51489,0.50643,0.33934,1.54532,2.12938,1.94436,0.0009142,0.0009142,0.0009142
15,3348.95,1.5131,2.36221,1.91023,0.68055,0.50646,0.52099,0.34344,1.54039,2.06996,1.90759,0.0009076,0.0009076,0.0009076
16,3555.26,1.47549,2.31387,1.87863,0.57903,0.50078,0.5076,0.34483,1.55572,2.17296,1.96201,0.000901,0.000901,0.000901
17,3768.89,1.48416,2.30061,1.8837,0.60437,0.50581,0.51415,0.35635,1.52234,2.06779,1.91529,0.0008944,0.0008944,0.0008944
18,3962.5,1.48281,2.28949,1.88383,0.53275,0.50323,0.50551,0.33503,1.55527,2.09691,1.93862,0.0008878,0.0008878,0.0008878
19,4171.63,1.47106,2.26346,1.86976,0.56628,0.50954,0.51661,0.35163,1.53868,2.04914,1.91185,0.0008812,0.0008812,0.0008812
